question_id,model,question,full_response,extracted_letter,correct_answer,correct,time,error
26,vanilla,"En relación con el metabolismo del hierro y su control mediado por hepcidina, es cierto que:",A,A,B,False,1.6248199939727783,
27,vanilla,¿Cuál de las siguientes alteraciones bioquímicas se observa en el reordenamiento metabólico de la diabetes mellitus?:,A,A,C,False,1.3902416229248047,
28,vanilla,"Una persona sana sufre una deshidratación tras realizar ejercicio físico intenso a altas temperaturas sin ingerir líquidos. Respecto a la activación del sistema renina-angiotensinaaldosterona en esas condiciones, señale la respuesta INCORRECTA:",A,A,A,True,1.4326810836791992,
29,vanilla,"De las siguientes afirmaciones relacionadas con las estructuras anatómicas que forman el manguito de los rotadores, señale la correcta:",D,D,B,False,0.901684045791626,
30,vanilla,¿Cuál de las siguientes características de la anatomía del esófago es la que facilita la realización de la ecocardiografía transesofágica?:,A,A,C,False,0.9270381927490234,
26,qa_trained,"En relación con el metabolismo del hierro y su control mediado por hepcidina, es cierto que:",A,A,B,False,6.067665100097656,
27,qa_trained,¿Cuál de las siguientes alteraciones bioquímicas se observa en el reordenamiento metabólico de la diabetes mellitus?:,A,A,C,False,0.9116678237915039,
28,qa_trained,"Una persona sana sufre una deshidratación tras realizar ejercicio físico intenso a altas temperaturas sin ingerir líquidos. Respecto a la activación del sistema renina-angiotensinaaldosterona en esas condiciones, señale la respuesta INCORRECTA:",A,A,A,True,1.1973741054534912,
29,qa_trained,"De las siguientes afirmaciones relacionadas con las estructuras anatómicas que forman el manguito de los rotadores, señale la correcta:",D,D,B,False,0.9046509265899658,
30,qa_trained,¿Cuál de las siguientes características de la anatomía del esófago es la que facilita la realización de la ecocardiografía transesofágica?:,A,A,C,False,0.9364197254180908,
26,fulltext_trained,"En relación con el metabolismo del hierro y su control mediado por hepcidina, es cierto que:",A,A,B,False,4.8247902393341064,
27,fulltext_trained,¿Cuál de las siguientes alteraciones bioquímicas se observa en el reordenamiento metabólico de la diabetes mellitus?:,A,A,C,False,0.9133002758026123,
28,fulltext_trained,"Una persona sana sufre una deshidratación tras realizar ejercicio físico intenso a altas temperaturas sin ingerir líquidos. Respecto a la activación del sistema renina-angiotensinaaldosterona en esas condiciones, señale la respuesta INCORRECTA:",A,A,A,True,1.1844379901885986,
29,fulltext_trained,"De las siguientes afirmaciones relacionadas con las estructuras anatómicas que forman el manguito de los rotadores, señale la correcta:",D,D,B,False,0.898367166519165,
30,fulltext_trained,¿Cuál de las siguientes características de la anatomía del esófago es la que facilita la realización de la ecocardiografía transesofágica?:,A,A,C,False,0.9323129653930664,
